asin,Manufacturer,description,price,reviewsCount,stars,title,url
B09WVL6PGY,MOKOBARA,,5009,131,4.4,"Mokobara Backpack Pro 15.6"" Inch Laptop Backpack For Men And Women (21 litre).",https://www.amazon.in/dp/B09WVL6PGY
B07G3CG9FC,ADISA,,499,7706,4,ADISA Laptop Backpack 31 Ltrs,https://www.amazon.in/dp/B07G3CG9FC
B075MK4TXP,Gear,Two main compartments. Two additional front pocket and two bottle pocket. Padded cushion back panel and easily adjustable padded shoulder straps with anti sweat fabric underneath. Grab handle and padded laptop sleeve with elastic tape.,,3728,4.4,Gear 30 Ltrs Black Laptop Backpack (LBPASPIRE0104),https://www.amazon.in/dp/B075MK4TXP
B07XVMR33Q,Zipline,,726,2735,4.1,ZIPLINE Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag Weekend Bag,https://www.amazon.in/dp/B07XVMR33Q
B093DRDJD4,LAXELLA,"Light weight and spacious casual backpack with 3 compartments and 1 front easy-access pocket. The back compartment is fully padded for cushioning. The middle compartment has organiser for pens, visiting cards, etc along with space for carrying papers, files, books, etc. It is spacious enough to keep all your stuff. It has provision for holding bottles on both sides and has adjustable padded shoulder straps for your comfort. The logo of the bag is Reflective so it will glow when light hits it which is a very important safety feature, specially when on road. DURABLE AND LIGHT WEIGHT MATERIAL: Made with strong yet light weight polyester fabric with heavy zippers. Serves the need of a professional office backpack, college bag, student backpack, school bag and is suitable for all, i.e. adults, teens, boys, girls. LAXELLA & STURDY: Its padded, adjustable shoulder straps do not put pressure on the shoulders. Foamed padded top handle is easy on your palm and fingers. LOTS OF STORAGE SPACE & POCKETS: 3 full sized compartments and 1 easy access pocket. Multiple compartments and Organiser can store lots of stuff, that too in very efficient and organized way.",470,101,3.4,Laxella Casual Waterproof Lightweight Laptop Bag/Backpack for Men & Boys /Office School College Teens & Students.(Packof 1),https://www.amazon.in/dp/B093DRDJD4
B085S444JV,Wesley,,548,6593,4.3,"Wesley Milestone Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Compatible with 15.6 inch Laptop) 30 L, Charcoal Black",https://www.amazon.in/dp/B085S444JV
B0855F8174,Bagneeds,,699,2231,4.1,Bagneeds Men's Black Synthetic Leather Briefcase Best Laptop Messenger Bag Satchel for Men,https://www.amazon.in/dp/B0855F8174
B07K8KLB3P,Wesley,,448,10597,4.3,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,https://www.amazon.in/dp/B07K8KLB3P
B09WVH41X9,MOKOBARA,,4490,74,4.1,"Mokobara Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)",https://www.amazon.in/dp/B09WVH41X9
B07YY6PTMN,MI,,899,4426,4.4,Mi Business Casual 21L Water Resistant Laptop Backpack (Dark Grey),https://www.amazon.in/dp/B07YY6PTMN
B09V7VCK25,MOKOBARA,,5590,82,4.3,Mokobara The Transit Backpack Laptop Bag for Men and Women,https://www.amazon.in/dp/B09V7VCK25
B088XB5XY8,MI,,249,3207,4.1,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/dp/B088XB5XY8
B08BYQZYYC,HEROZ,,1399,6654,4.3,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),https://www.amazon.in/dp/B08BYQZYYC
